,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T',T'c,RRR,TOri
53,Ang koo kueh peanut filling,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (67.8g),239.33,26.31,6.03,12.2,4.07,3.25,0,35.93,11.9665,8.77,8.04,19.0625,20.35,13,0,1.497083333,1.217619711,9.981679293,0.769805213,1.244470294,0.182607394
54,Anise seeds dried,MISCELLANEOUS,Herbs spices condiments,Teaspoon (2.1g),7.08,1.05,0.37,0.33,0.01,0.31,0,0.34,0.354,0.35,0.493333333,0.515625,0.05,1.24,0,0.014166667,2.568270189,0.599627525,0.44285637,8.29015544,0.00493938
55,Apple crumble,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Slice (146.04g),353.5,49.11,5.84,14.85,11.54,6.05,11.76,92.18,17.675,16.37,7.786666667,23.203125,57.7,24.2,3.92,3.840833333,0.801317259,14.56738005,0.780047125,0.769503724,0.222272115
56,Apple Dippers with Caramel Sauce McDonald's,FAST FOODS,All fast food outlets in alphabetical order,Packet (89g),32.93,7,0,0,0,1,0,2,1.6465,2.333333333,0,0,0,4,0,0.083333333,2.035975062,1.088383838,0.411254048,4.624722998,0
57,Apple juice,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),100,24.75,0,0,0,0,0,7.5,5,8.25,0,0,0,0,0,0.3125,0,3.4375,0.572916667,0,0
58,Apple juice drink,BEVERAGES,Non-alcoholic beverages,Cup (261g),104.27,26.36,0,0,0,0,0,23.49,5.2135,8.786666667,0,0,0,0,0,0.97875,0,3.854734848,0.620380598,0,0
59,Apple juice drink with no added sugar,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),85,21.25,0,0,0,0.5,0,10,4.25,7.083333333,0,0,0,2,0,0.416666667,0.378440367,2.987373737,0.569023569,0.857142857,0
60,Apple pie McDonald's,FAST FOODS,All fast food outlets in alphabetical order,Piece (85g),232.05,26,1.7,13,6.3,2,0,190.4,11.6025,8.666666667,2.266666667,20.3125,31.5,8,0,7.933333333,0.422405442,12.65770202,1.004380244,0.402331695,0.194581649
61,Apple strudel,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (128g),282.88,35.97,3.46,13.95,7.78,3.97,26.88,138.24,14.144,11.99,4.613333333,21.796875,38.9,15.88,8.96,5.76,0.637227632,13.39774621,0.884690056,0.604844263,0.208801078
62,Apple dried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fruit and fruit products,Packet (101g),356.53,77.27,0,0.51,0.12,9.9,0,313.1,17.8265,25.75666667,0,0.796875,0.6,39.6,0,13.04583333,1.737741001,13.11363005,0.696551672,2.51649597,0.007633588
