name,brand name,ram,storage,battery,camera 1,camera 2,screen,resolution w,resolution h,thickness,os,color,price
Lenovo Tab3 8,Lenovo,2,16,4290,5,2,8,800,1280,8.9,Android,black_white,120 EUR
Lenovo Vibe K5 Plus,Lenovo,2,16,2750,13,5,5,1080,1920,8,Android,silver_gold,140 EUR
Lenovo Vibe K5,Lenovo,2,16,2750,13,5,5,720,1280,8,Android,silver_gold,120 EUR
Lenovo A7000 Turbo,Lenovo,2,16,2900,13,5,5.5,1080,1920,8,Android,black,180 EUR
Lenovo K5 Note,Lenovo,4,32,3500,13,8,5.5,1080,1920,8.5,Android,silver_gold_gray,190 EUR
Lenovo Lemon 3,Lenovo,2,16,2750,13,5,5,1080,1920,8,Android,silver_gold,110 EUR
Lenovo Vibe S1 Lite,Lenovo,2,16,2700,13,8,5,1080,1920,8.6,Android,white_blue,210 EUR
Lenovo Yoga Tab 3 Pro,Lenovo,4,64,10200,13,5,10.1,1600,2560,4.7,Android,black,480 EUR
Lenovo Phab Plus,Lenovo,2,32,3500,13,5,6.8,1080,1920,7.6,Android,silver_gold,250 EUR
Lenovo Vibe P1,Lenovo,2,32,5000,13,5,5.5,1080,1920,9.9,Android,black_white,380 EUR
Lenovo A6010 Plus,Lenovo,2,16,2300,13,5,5,720,1280,8.2,Android,black_white_yellow,160 EUR
Lenovo Vibe P1m,Lenovo,2,16,4000,8,5,5,720,1280,9.3,Android,black_white,110 EUR
Lenovo K80,Lenovo,4,64,4000,13,5,5.5,1080,1920,8.5,Android,black_silver_red,280 EUR
Lenovo A6000 Plus,Lenovo,2,16,2300,8,2,5,720,1280,8.2,Android,black_white_red_yellow,110 EUR
Lenovo K3 Note,Lenovo,2,16,3000,13,5,5.5,1080,1920,8,Android,black_white_yellow,150 EUR
Lenovo A7000 Plus,Lenovo,2,16,2900,13,5,5.5,1080,1920,8,Android,black_white_yellow,190 EUR
Lenovo Tab 2 A10-70,Lenovo,2,16,7000,8,5,10.1,1200,1920,8.9,Android,white_blue,180 EUR
Lenovo P70,Lenovo,2,16,4000,13,5,5,720,1280,8.9,Android,blue,240 EUR
Lenovo P90,Lenovo,2,32,4000,13,5,5.5,1080,1920,8.5,Android,black_white_red,450 EUR
Lenovo Vibe X2 Pro,Lenovo,2,32,2410,13,13,5.3,1080,1920,7,Android,gold_blue_pink,330 EUR
Lenovo S90 Sisley,Lenovo,2,32,2300,13,8,5,720,1280,6.9,Android,white_silver_blue_gray_pink,260 EUR
Lenovo Yoga Tablet 2 10.1,Lenovo,2,16,9600,8,1.6,10.1,1920,1200,7.2,Android,black_white,300 EUR
Lenovo Yoga Tablet 2 8.0 ,Lenovo,2,16,6400,8,1.6,8,1200,1920,7,Android,black_white,230 EUR
Lenovo Tab S8,Lenovo,2,16,4290,8,1.6,8,1200,1920,7.9,Android,white_blue_yellow,150 EUR
Lenovo Vibe X2,Lenovo,2,32,2300,13,5,5,1080,1920,7.3,Android,white_gold_red,270 EUR
Lenovo Vibe Z2,Lenovo,2,32,3000,13,0,5.5,720,1280,7.8,Android,white_gold,430 EUR
Lenovo Golden Warrior A8,Lenovo,2,16,2500,13,5,5,720,1280,9,Android,black_white,150 EUR
Lenovo Yoga Tablet 10 HD+,Lenovo,2,32,9000,8,1.6,10.1,1200,1920,8.1,Android,gray,260 EUR
Lenovo S860,Lenovo,2,16,4000,8,1.6,5.3,720,1280,10.3,Android,black_white,250 EUR
