,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T'c,Health,Taste,image
827,Crab blue/sea boiled,FISH AND FISH PRODUCTS,Crustaceans (eg crabs lobsters crayfish),Whole (262g),222.67,1.31,47.16,3.14,0.42,0,180.78,843.64,11.1335,0.436666667,62.88,4.90625,2.1,0,60.26,35.15166667,1.427513762,1.141035983,44,36,
828,Crab freshwater boiled,FISH AND FISH PRODUCTS,Crustaceans (eg crabs lobsters crayfish),Whole (262g),280.35,6.03,50.3,6.03,0.81,0,188.64,699.54,14.0175,2.01,67.06666667,9.421875,4.05,0,62.88,29.1475,1.480007329,0.926965258,46,28,
829,Crabmeat,FISH AND FISH PRODUCTS,Crustaceans (eg crabs lobsters crayfish),1 portion (45g),27.9,0.5,5.22,0.54,0.09,0,29.25,121.5,1.395,0.166666667,6.96,0.84375,0.45,0,9.75,5.0625,0.9753736,0.986509142,30,30,
830,Cracker high fat small round biscuit sprinkled with salt,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (14g),68.16,8.5,1.06,3.33,1.69,0.48,1.4,93.24,3.408,2.833333333,1.413333333,5.203125,8.45,1.92,0.466666667,3.885,0.414057477,0.983400532,13,30,
832,Cracker with cheese filling,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Whole (7g),33.39,4.32,0.65,1.48,0.43,0.13,0.14,98.07,1.6695,1.44,0.866666667,2.3125,2.15,0.52,0.046666667,4.08625,0.330913432,1.114114549,10,35,
834,Crayfish hor fun,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (602g),514.11,73.81,12.82,18.66,6.74,7.83,44.55,1544.73,25.7055,24.60333333,17.09333333,29.15625,33.7,31.32,14.85,64.36375,0.739758393,1.479254926,23,49,
836,Crayfish steamed,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),1 portion (25g),20.5,0,4.2,0.3,0.05,0,33.25,23.5,1.025,0,5.6,0.46875,0.25,0,11.08333333,0.979166667,0.976460331,0.402949246,30,8,
839,Cream cracker plain,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (9g),40.35,5.16,0.83,1.83,0.94,0.23,0.27,72.45,2.0175,1.72,1.106666667,2.859375,4.7,0.92,0.09,3.01875,0.401511672,0.957840627,12,29,
840,Cream cracker wholemeal,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (7.71g),37.55,4.04,0.67,2.08,1.01,0.31,0.46,44.41,1.8775,1.346666667,0.893333333,3.25,5.05,1.24,0.153333333,1.850416667,0.47249432,0.863803105,15,26,
842,Cream puff,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (34g),114.55,7.67,1.96,8.45,5.13,0.57,47.84,59.6,5.7275,2.556666667,2.613333333,13.203125,25.65,2.28,15.94666667,2.483333333,0.229134474,0.954702168,7,29,
850,Crispy crab claws,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Piece (81g),174.96,20.25,6.64,7.45,3.48,0,8.1,668.25,8.748,6.75,8.853333333,11.640625,17.4,0,2.7,27.84375,0.340222917,1.636165072,11,55,
851,Crispy pork floss,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Packet (30g),117.6,15.66,9.69,1.77,0.63,0.9,5.4,410.1,5.88,5.22,12.92,2.765625,3.15,3.6,1.8,17.0875,1.204616415,1.270368107,37,41,
853,Crocodile meat stir fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Plate-20cm (37g),101.38,5.14,10.55,4.29,0.64,0.56,15.54,68.45,5.069,1.713333333,14.06666667,6.703125,3.2,2.24,5.18,2.852083333,2.149399481,0.671206837,67,18,
854,Croissant,CEREAL AND CEREAL PRODUCTS,Cakes and pastries(eg cakes mixescroissants),Piece (16g),68.64,8.91,1.39,3.46,2.13,0.32,3.68,65.76,3.432,2.97,1.853333333,5.40625,10.65,1.28,1.226666667,2.74,0.353293626,0.922825388,11,28,
855,Croissant almond,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (84g),379.09,33.05,7.77,23.98,10.81,2.08,44.52,255.44,18.9545,11.01666667,10.36,37.46875,54.05,8.32,14.84,10.64333333,0.421671756,1.008526089,13,31,
856,Croissant with egg cheese and ham,CEREAL AND CEREAL PRODUCTS,Cakes and pastries(eg cakes mixescroissants),1 portion (152g),474.24,24.2,18.92,33.58,17.48,0,212.8,1080.72,23.712,8.066666667,25.22666667,52.46875,87.4,0,70.93333333,45.03,0.266244128,1.447323163,8,48,
857,Croutons plain,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Cup (30g),122.1,20.52,3.57,1.98,0.45,1.53,0,209.4,6.105,6.84,4.76,3.09375,2.25,6.12,0,8.725,1.088633387,0.925367326,34,28,
858,Crystal dumpling,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (42g),59.22,9.24,1.01,2.02,0.8,1.05,4.62,171.78,2.961,3.08,1.346666667,3.15625,4,4.2,1.54,7.1575,0.706161397,1.202720846,22,38,
866,Cupcake iced commercial,CEREAL AND CEREAL PRODUCTS,Cakes and pastries(eg cakes mixescroissants),Slice (40g),148.61,22.36,1.88,5.96,2.56,0.44,21.6,148,7.4305,7.453333333,2.506666667,9.3125,12.8,1.76,7.2,6.166666667,0.250579019,0.966730947,8,29,
867,Curry chicken with potato skin removed,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (220g),302.57,12.12,21.87,18.5,6.91,4.27,116.62,611.6,15.1285,4.04,29.16,28.90625,34.55,17.08,38.87333333,25.48333333,0.980577507,1.203751719,30,38,
868,Curry chicken with low fat milk Indian style,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (274.08g),452.7,5.29,53.8,24.04,7.65,3.51,179.58,729.05,22.635,1.763333333,71.73333333,37.5625,38.25,14.04,59.86,30.37708333,1.403641011,0.981409718,44,30,
869,Curry chicken with low fat milk skin removed Indian style,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (268.9g),401.39,6.7,53.78,17.72,5.81,3.9,167.42,641.33,20.0695,2.233333333,71.70666667,27.6875,29.05,15.6,55.80666667,26.72208333,1.632920575,0.89272432,51,27,
870,Curry eggplant,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (231g),241.27,12.24,4.16,19.4,9.24,5.31,0,1009.47,12.0635,4.08,5.546666667,30.3125,46.2,21.24,0,42.06125,0.644872915,1.936534364,20,66,
871,Curry fish,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (632.67g),502.02,22.14,44.92,25.31,11.39,10.12,316.34,2682.52,25.101,7.38,59.89333333,39.546875,56.95,40.48,105.4466667,111.7716667,0.823703826,2.001065742,26,68,
872,Curry fish head,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (1320.5g),1391.83,48.86,91.11,91.11,60.74,18.49,448.97,4793.42,69.5915,16.28666667,121.48,142.359375,303.7,73.96,149.6566667,199.7258333,0.665017383,1.672197761,21,56,
874,Curry lean mutton with potato Indian style,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (197.1g),266.09,9.26,32.52,11.04,5.38,2.37,147.83,638.6,13.3045,3.086666667,43.36,17.25,26.9,9.48,49.27666667,26.60833333,1.104561647,1.10370368,34,35,
875,Curry minced lamb lean and potato,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Plate-16cm (154.03g),207.94,11.86,15.25,11.09,6.13,2.62,86.26,331.16,10.397,3.953333333,20.33333333,17.328125,30.65,10.48,28.75333333,13.79833333,0.875790144,1.037888869,27,32,
877,Curry puff beef,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (78.4g),265.78,24.38,7.29,15.44,9.25,2.2,26.66,454.72,13.289,8.126666667,9.72,24.125,46.25,8.8,8.886666667,18.94666667,0.480102261,1.21625309,15,39,
879,Curry puff frozen deep fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (90g),318.6,25.83,9.63,19.62,9.26,1.53,0,409.5,15.93,8.61,12.84,30.65625,46.3,6.12,0,17.0625,0.531814253,1.133197748,16,36,
880,Curry puff potato and mutton filling deep fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (138g),401.58,42.5,8.42,21.94,10.86,3.86,22.08,800.4,20.079,14.16666667,11.22666667,34.28125,54.3,15.44,7.36,33.35,0.512269197,1.307496546,16,42,
881,Curry pumpkin and long beans,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (133.3g),89.31,4.96,3.2,6.27,4.63,1.87,9.28,261.8,4.4655,1.653333333,4.266666667,9.796875,23.15,7.48,3.093333333,10.90833333,0.67137923,1.392299863,21,45,
883,Curry Zazzle Baked Rice Pizzahut,FAST FOODS,All fast food outlets in alphabetical order,Whole (340g),564.4,68.99,20.4,23.09,10.2,6.09,27.2,870.4,28.22,22.99666667,27.2,36.078125,51,24.36,9.066666667,36.26666667,0.868445874,1.097621708,27,34,
884,Curry beef,OTHER MIXED ETHNIC DISHES,Meat based dishes,Piece (90g),130.14,7.74,13.14,5.13,2.47,1.29,58.09,66.6,6.507,2.58,17.52,8.015625,12.35,5.16,19.36333333,2.775,1.278732353,0.627684363,40,17,
885,Curry indian mackerel,OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (80g),83.94,1.36,13.44,2.72,2.11,0.44,40,111.2,4.197,0.453333333,17.92,4.25,10.55,1.76,13.33333333,4.633333333,1.445009794,0.655370328,45,18,
886,Curry mutton canned,MEAT AND MEAT PRODUCTS,Mutton and lamb,Can (167g),362.42,7.68,18.04,28.89,18.2,1.67,78.16,708.08,18.121,2.56,24.05333333,45.140625,91,6.68,26.05333333,29.50333333,0.457714195,1.356787701,14,44,
887,Curry potato [DO NOT USE],MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Vegetable based dishes,Plate-16cm (153.13g),791.68,35.04,28.64,59.58,14.32,13.93,12.25,669.02,39.584,11.68,38.18666667,93.09375,71.6,55.72,4.083333333,27.87583333,1.54635353,1.064836282,48,33,
889,Custard cream puff,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (110g),272.8,26.73,5.28,16.06,9.57,1.32,92.73,213.4,13.64,8.91,7.04,25.09375,47.85,5.28,30.91,8.891666667,0.276154754,1.006953931,9,31,
890,Custard powder,CEREAL AND CEREAL PRODUCTS,Grains and flours,Tablespoon (9g),34.2,8.31,0.04,0.09,0.01,0.01,0,10.53,1.71,2.77,0.053333333,0.140625,0.05,0.04,0,0.43875,0.037531911,0.565505144,1,14,
891,Cuttlefish ball deep fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Piece (30g),55.2,3.84,3.45,2.88,1.14,0.63,45.6,218.7,2.76,1.28,4.6,4.5,5.7,2.52,15.2,9.1125,0.509448076,1.398916022,16,46,
892,Cuttlefish finger,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Piece (13g),23.14,1.81,1.74,0.99,0.4,0.18,3.77,196.95,1.157,0.603333333,2.32,1.546875,2,0.72,1.256666667,8.20625,0.53473513,1.753338321,17,59,
893,Cuttlefish porridge,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,1 portion (570g),473.1,98.04,9.69,5.13,2.28,2.28,5.7,1088.7,23.655,32.68,12.92,8.015625,11.4,9.12,1.9,45.3625,0.466398493,1.205975031,14,38,
894,Cuttlefish cooked,FISH AND FISH PRODUCTS,Others (squids algae plankton etc),Cup (200g),316,3.28,64.96,2.8,0.47,0,448,1488,15.8,1.093333333,86.61333333,4.375,2.35,0,149.3333333,62,0.93463836,1.360470779,29,44,
895,Cuttlefish in brine,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Piece (6g),3.54,0,0.68,0.08,0.04,0,4.32,7.38,0.177,0,0.906666667,0.125,0.2,0,1.44,0.3075,0.725449405,0.405692438,23,8,
897,Daging masak merah,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Plate-16cm (155g),305.01,18.71,24.3,14.46,7.41,1.69,71.86,780.86,15.2505,6.236666667,32.4,22.59375,37.05,6.76,23.95333333,32.53583333,0.844120096,1.278292447,26,41,
898,Daging rempah,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Plate-16cm (146.11g),352.13,5.11,26.15,25.28,14.17,3.07,97.89,675.03,17.6065,1.703333333,34.86666667,39.5,70.85,12.28,32.63,28.12625,0.780808876,1.24272106,24,40,
899,Dahi Bhalla deep-fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Plate-23cm (533g),575.64,58.63,33.05,23.45,8.1,17.59,63.96,1481.74,28.782,19.54333333,44.06666667,36.640625,40.5,70.36,21.32,61.73916667,1.700098069,1.279334587,53,41,
901,Dakgalbi with rice,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (450g),556.29,77.58,33.12,12.33,2.12,4.14,55.31,658.4,27.8145,25.86,44.16,19.265625,10.6,16.56,18.43666667,27.43333333,1.355478718,0.860728833,42,25,
902,Danish pastry,CEREAL AND CEREAL PRODUCTS,Cakes and pastries(eg cakes mixescroissants),Piece (54g),224.64,24.35,4.48,11.88,7.28,0.92,30.24,160.92,11.232,8.116666667,5.973333333,18.5625,36.4,3.68,10.08,6.705,0.326404011,0.947991607,10,29,
905,Deep fried baby sotong,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Plate-16cm (221g),923.78,27.18,66.74,60.78,27.63,0,1047.54,1637.61,46.189,9.06,88.98666667,94.96875,138.15,0,349.18,68.23375,0.363130026,1.229708452,11,39,
906,Deep fried battered coconut,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (59g),200.01,18.29,3.78,12.45,6.84,2.07,0,188.8,10.0005,6.096666667,5.04,19.453125,34.2,8.28,0,7.866666667,0.564738458,1.036861157,18,32,
908,Deep fried beancurd with shrimp,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (29g),76.85,2.2,4.64,5.51,2.11,0.7,8.99,133.11,3.8425,0.733333333,6.186666667,8.609375,10.55,2.8,2.996666667,5.54625,0.917723331,1.080783311,28,34,
909,Deep fried carrot cake,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (130g),179.4,27.17,3.38,6.37,2.73,1.17,4.55,475.8,8.97,9.056666667,4.506666667,9.953125,13.65,4.68,1.516666667,19.825,0.422055593,1.345124388,13,44,
910,Deep fried chicken chop with skin,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Piece (150.25g),312.52,5.11,32.9,17.88,6.76,1.2,135.23,582.97,15.626,1.703333333,43.86666667,27.9375,33.8,4.8,45.07666667,24.29041667,1.003726977,1.095668127,31,34,
911,Deep fried chicken wing,MEAT AND MEAT PRODUCTS,Poultry (chicken duck turkey pigeon etc),Whole (96g),307.69,2.3,25.06,21.31,5.86,0,77.76,73.92,15.3845,0.766666667,33.41333333,33.296875,29.3,0,25.92,3.08,1.106096108,0.777426605,34,22,
913,Deep fried flour batter,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (50g),119,18.1,2.8,3.9,1.75,1.1,0,132.5,5.95,6.033333333,3.733333333,6.09375,8.75,4.4,0,5.520833333,0.742020652,0.901506068,23,27,
914,Deep fried jellyfish on a stick,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Stick (6g),24,3.72,0.68,0.71,0.39,0.07,1.2,53.4,1.2,1.24,0.906666667,1.109375,1.95,0.28,0.4,2.225,0.366152408,0.857825413,11,25,
915,Deep fried lemon chicken,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Plate-20cm (175g),607.25,29.75,29.93,40.95,16.63,1.4,157.5,910,30.3625,9.916666667,39.90666667,63.984375,83.15,5.6,52.5,37.91666667,0.528561548,1.203243072,16,38,
916,Deep fried mackerel,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Whole (114g),215.8,0,31.69,9.92,4.72,0,78.66,1132.02,10.79,0,42.25333333,15.5,23.6,0,26.22,47.1675,0.971095432,1.800042409,30,61,
917,Deep fried pork lard,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-dessert (15 cm) (220g),1639,0,58.08,156.2,60.63,0,110.11,784.08,81.95,0,77.44,244.0625,303.15,0,36.70333333,32.67,0.425052327,1.116063894,13,35,
918,Deep fried shallots,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Vegetable based dishes,Tablespoon (5g),25.45,3.09,0.19,1.37,0.61,0.25,0,2,1.2725,1.03,0.253333333,2.140625,3.05,1,0,0.083333333,0.486651214,0.624376327,15,17,
919,Deep fried soft shell crab,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Plate-20cm (111g),270.84,17.54,11.66,17.21,3.92,1.78,69.93,314.13,13.542,5.846666667,15.54666667,26.890625,19.6,7.12,23.31,13.08875,0.742958359,1.070698301,23,33,
920,Deep fried spicy fishcake,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Plate-16cm (70g),78.63,8.47,5.95,2.31,1.12,1.4,42,766.5,3.9315,2.823333333,7.933333333,3.609375,5.6,5.6,14,31.9375,0.573058696,2.644076116,18,93,
921,Deep fried wanton,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (20g),84.8,5.38,2.34,5.98,2.72,0.3,6.8,147,4.24,1.793333333,3.12,9.34375,13.6,1.2,2.266666667,6.125,0.371402817,1.165141395,12,37,
922,Deer/Venison Raw,MEAT AND MEAT PRODUCTS,Others (frog venison turtle etc),1 portion (90g),108,0,20.7,2.16,0.86,0,76.5,45.9,5.4,0,27.6,3.375,4.3,0,25.5,1.9125,1.810429649,0.327473958,56,5,
923,Deli Style Roll Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (58g),164.72,29,5.22,2.2,0.8,0.99,0,309.72,8.236,9.666666667,6.96,3.4375,4,3.96,0,12.905,0.751518428,0.993502041,23,30,
925,Dhansak,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,1 portion (209g),211.72,12.98,19.33,9.15,5.18,6.86,62.09,518.95,10.586,4.326666667,25.77333333,14.296875,25.9,27.44,20.69666667,21.62291667,1.621743876,1.126222631,50,35,
926,Digestive biscuit,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),48.8,6.87,0.6,2.11,0.98,0.37,0.2,61.1,2.44,2.29,0.8,3.296875,4.9,1.48,0.066666667,2.545833333,0.42805209,0.892087664,13,27,
927,Dim sum beancurd roll,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (33.33g),66.26,1.05,4.67,4.82,1.9,0.24,4.8,183.08,3.313,0.35,6.226666667,7.53125,9.5,0.96,1.6,7.628333333,0.769916009,1.271669278,24,41,
929,Dim sum dumpling yam deep fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (69g),201.48,22.98,2.9,12.28,5.42,2.07,3.45,793.5,10.074,7.66,3.866666667,19.1875,27.1,8.28,1.15,33.0625,0.37963014,1.831727059,12,62,
930,Dim sum pork ribs,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,1 portion (100g),168,4.6,15.9,9.6,3.8,1,51.7,626,8.4,1.533333333,21.2,15,19,4,17.23333333,26.08333333,0.862709297,1.538738448,27,51,
931,Dim sum pork tart BBQ,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Piece (49g),180.81,14.06,4.8,11.76,5.64,0.54,18.62,380.24,9.0405,4.686666667,6.4,18.375,28.2,2.16,6.206666667,15.84333333,0.328186311,1.332426903,10,43,
932,Dim sum sharkfin dumpling,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (26.67g),41.05,2.36,3.05,2.15,0.83,0.29,8.93,139.56,2.0525,0.786666667,4.066666667,3.359375,4.15,1.16,2.976666667,5.815,0.780244188,1.193240761,24,38,
934,Dim sum turnip cake steamed,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (49g),65.66,10.63,1.23,2.01,0.84,1.23,2.45,196,3.283,3.543333333,1.64,3.140625,4.2,4.92,0.816666667,8.166666667,0.785270804,1.223867498,24,39,
936,Double Cheeseburger Burger King,FAST FOODS,All fast food outlets in alphabetical order,Whole (225g),564.75,45.9,29.25,28.58,11.81,1.8,81,1039.5,28.2375,15.3,39,44.65625,59.05,7.2,27,43.3125,0.661374284,1.197151075,21,38,
937,Double Cheeseburger McDonalds',FAST FOODS,All fast food outlets in alphabetical order,Whole (163g),433.58,33.01,24.45,22.01,12.7,3.99,53.79,1080.69,21.679,11.00333333,32.6,34.390625,63.5,15.96,17.93,45.02875,0.76022066,1.337097495,24,43,
938,Double Chocolate Chip Cookies Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),210.15,30,1.8,10,5.4,1,14.85,170.1,10.5075,10,2.4,15.625,27,4,4.95,7.0875,0.261906711,0.992337013,8,30,
939,Double Quarter Pounder with Cheese McDonald's,FAST FOODS,All fast food outlets in alphabetical order,Whole (280g),812,38,53.2,47.99,8.79,8.99,61.6,1178.8,40.6,12.66666667,70.93333333,74.984375,43.95,35.96,20.53333333,49.11666667,1.612276314,1.086940165,50,34,
940,Dough yeast,CEREAL AND CEREAL PRODUCTS,Grains and flours,Cup (199.6g),738.48,132.33,24.75,12.18,2.79,6.79,0,115.77,36.924,44.11,33,19.03125,13.95,27.16,0,4.82375,1.469486765,0.619712311,46,16,
941,Doughnut chocolate coated,CEREAL AND CEREAL PRODUCTS,Cakes and pastries(eg cakes mixescroissants),Whole (60g),250.2,34.44,2.7,11.94,3.08,1.32,34.2,204,12.51,11.48,3.6,18.65625,15.4,5.28,11.4,8.5,0.364809752,0.991855079,11,30,
942,Doughnut plain,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (56g),222.32,27.22,4.42,10.64,5.26,1.06,5.6,159.6,11.116,9.073333333,5.893333333,16.625,26.3,4.24,1.866666667,6.65,0.448811348,0.929562212,14,28,
951,Dried shrimp,FISH AND FISH PRODUCTS,Crustaceans (eg crabs lobsters crayfish),1 portion (100g),250,0,58,2,0.96,0,103,2626,12.5,0,77.33333333,3.125,4.8,0,34.33333333,109.4166667,1.193047413,2.803497942,37,99,
954,Drumstick meat only skin & breading removed KFC (NNS),FAST FOODS,All fast food outlets in alphabetical order,Whole (95.5g),186.23,0,27.33,7.72,2.03,0,89.77,91.68,9.3115,0,36.44,12.0625,10.15,0,29.92333333,3.82,1.680661934,0.545749891,52,14,
956,Dry beef noodles,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (465g),469.65,86.03,20,5.12,2.33,6.51,41.85,2111.1,23.4825,28.67666667,26.66666667,8,11.65,26.04,13.95,87.9625,0.789204543,1.713861787,24,58,
957,Dry chicken and mushroom noodles,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (397g),440.67,50.42,26.6,14.69,5.56,6.75,83.37,1699.16,22.0335,16.80666667,35.46666667,22.953125,27.8,27,27.79,70.79833333,0.944736447,1.601022544,29,53,
958,Dry chicken feet noodles,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (409g),486.71,64.62,20.04,16.36,5.48,6.14,73.62,1787.33,24.3355,21.54,26.72,25.5625,27.4,24.56,24.54,74.47208333,0.740984619,1.609073407,23,54,
959,Dry duck noodles,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (327g),500.31,66.71,24.2,15.04,5.23,3.6,91.56,1370.13,25.0155,22.23666667,32.26666667,23.5,26.15,14.4,30.52,57.08875,0.71696332,1.339430223,22,43,
933,Dim sum siew mai steamed,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (16g),28.64,2.8,1.41,1.33,0.44,0.29,3.52,99.04,1.432,0.933333333,1.88,2.078125,2.2,1.16,1.173333333,4.126666667,0.700801395,1.112598539,22,35,
960,Dry minced pork and mushroom noodles,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (311g),510.66,56.98,19.62,22.7,9.17,4.85,28.61,1490.62,25.533,18.99333333,26.16,35.46875,45.85,19.4,9.536666667,62.10916667,0.698836472,1.47657986,22,49,
963,Duck noodles soup,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (539g),506.66,61.99,22.1,18.87,6.47,3.23,107.8,1961.96,25.333,20.66333333,29.46666667,29.484375,32.35,12.92,35.93333333,81.74833333,0.535910723,1.691160408,17,57,
964,Duck porridge,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (573g),595.92,53.29,56.73,17.19,6.3,4.58,114.6,1272.06,29.796,17.76333333,75.64,26.859375,31.5,18.32,38.2,53.0025,1.371989464,1.066963267,43,33,
965,Duck rice with skin removed,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (350g),563.85,88.94,25.83,11.66,3.85,3.61,84.88,346.33,28.1925,29.64666667,34.44,18.21875,19.25,14.44,28.29333333,14.43041667,1.000038128,0.738525964,31,21,
973,Duck with ginger chinese mushroom lettuce stewed,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (208.53g),382.86,2.31,25.94,29.99,8.82,2.25,151.12,623.71,19.143,0.77,34.58666667,46.859375,44.1,9,50.37333333,25.98791667,0.774868188,1.222411588,24,39,
974,Duck with preserved vegetable canned,MEAT AND MEAT PRODUCTS,Poultry (chicken duck turkey pigeon etc),Can (362g),662.46,22.81,40.54,45.61,12.74,10.5,133.94,4097.84,33.123,7.603333333,54.05333333,71.265625,63.7,42,44.64666667,170.7433333,0.75587464,2.417580732,23,84,
976,Dumpling chives and minced pork filling fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (26g),82.03,6.35,2.47,5.19,1.95,0.34,9.9,99.23,4.1015,2.116666667,3.293333333,8.109375,9.75,1.36,3.3,4.134583333,0.475382193,1.00816184,15,31,
